date,symbol,entry,stop,target,exit,adx,outcome,rr_planned,R
2024-06-08,ETHUSDT,3678.31,3600.0,3977.0,3667.85,32.5788416850613,be,3.814199974460481,-0.18993707061678008
2024-11-27,BNBUSDT,613.5,600.02,687.75,687.75,31.715962792837523,win,5.508160237388717,5.453545994065275
2024-12-04,SOLUSDT,233.92,215.0,264.39,229.15,30.647457596461013,be,1.6104651162790709,-0.2669505285412254
2024-12-10,BTCUSDT,97276.48,94150.05,104088.0,104088.0,43.158479660737825,win,2.178689431716053,2.1413523488451744
2024-12-10,BNBUSDT,689.2,642.0,793.86,676.8,34.01129018539805,be,2.2173728813559292,-0.2802338983050864
2024-12-10,DOGEUSDT,0.41403,0.38,0.48434,0.38,57.358279027502405,loss,2.066118131060828,-1.014599941228328
2024-12-10,AVAXUSDT,45.02,40.4,55.79,44.6,45.63236635095066,be,2.331168831168828,-0.10260259740259768
2024-12-11,ETHUSDT,3628.24,3509.0,4087.73,4087.73,40.42503732310833,win,3.853488762160358,3.8169751090238266
2024-12-11,ADAUSDT,1.0215,0.91,1.3264,1.0522,52.917216419166095,be,2.734529147982061,0.26434260089686046
2024-12-12,DOGEUSDT,0.41402,0.36537,0.48434,0.40611,51.416674320176774,be,1.445426515930112,-0.17280213771839606
2024-12-17,LTCUSDT,118.0,114.26,147.06,114.26,39.946649005861495,loss,7.77005347593584,-1.037860962566845
2024-12-18,AVAXUSDT,47.92,47.52,55.79,47.52,34.09729274147303,loss,19.675000000000065,-1.1437600000000006
2024-12-19,BTCUSDT,100204.01,100000.0,108353.0,100000.0,40.100595970294535,loss,39.944071369051585,-1.589406460467639
2024-12-19,LINKUSDT,24.85,24.72,30.94,24.72,43.8101761512185,loss,46.84615384615292,-1.229384615384611
2024-12-20,XRPUSDT,2.2391,2.1595,2.9092,2.1595,46.392532808112456,loss,8.418341708542698,-1.0337552763819093
2024-12-21,BTCUSDT,97805.44,92232.54,108353.0,97291.99,35.43316445231847,be,1.8926519406413145,-0.11319358466866374
2024-12-22,XRPUSDT,2.2379,1.9601,2.9092,2.2031,40.27013710598274,be,2.4164866810655163,-0.13493693304535545
2024-12-24,XRPUSDT,2.2616,2.1308,2.7281,2.1308,34.875060972321066,loss,3.5665137614678826,-1.020748623853211
2025-01-28,SOLUSDT,234.9,220.89,295.83,227.06,32.21854947722437,be,4.349036402569586,-0.5797201998572442
2025-01-30,SOLUSDT,228.16,220.89,295.83,220.89,30.274183384262354,loss,9.308115543328734,-1.037660522696011
2025-05-24,BNBUSDT,656.99,648.49,693.0,693.0,33.516046906818396,win,4.236470588235293,4.143719058823528
2025-05-29,SOLUSDT,172.22,168.92,187.71,168.92,31.42901684776282,loss,4.69393939393938,-1.0626254545454543
2025-05-31,ETHUSDT,2531.35,2507.35,2788.0,2507.35,32.46856807389826,loss,10.693750000000003,-1.1265675
2025-05-31,BNBUSDT,655.36,653.22,697.73,653.22,33.37147454497906,loss,19.799065420560876,-1.3674915887850492
2025-06-02,ETHUSDT,2539.2,2468.56,2788.0,2468.56,30.47241280675522,loss,3.522083805209522,-1.0431347678369196
2025-07-29,DOGEUSDT,0.22616,0.22426,0.2875,0.22426,37.3863302495766,loss,32.28421052631556,-1.1428378947368412
2025-07-29,ADAUSDT,0.7932,0.786,0.9373,0.786,44.160552995572665,loss,20.013888888888932,-1.1322000000000003
2025-07-30,SOLUSDT,181.47,178.3,206.3,178.3,33.68644166955149,loss,7.832807570977953,-1.0686952681388016
2025-07-31,XRPUSDT,3.0967,3.001,3.6607,3.0224,45.00303547562908,be,5.893416927899693,-0.8152146290491085
2025-07-31,ADAUSDT,0.7633,0.7301,0.9373,0.7392,40.28970854946678,be,5.240963855421687,-0.7534927710843375
2025-07-31,AVAXUSDT,23.3,22.4,27.38,22.4,30.144973001580453,loss,4.533333333333321,-1.0310666666666666
2025-07-31,LINKUSDT,17.72,16.77,20.28,16.92,31.741999438167397,be,2.6947368421052675,-0.8644884210526291
